Trip Date,Vehicle Reg No,Vehicle Type,Emp Count,Distance (KM),Agency,Category,Shift,Toll Charges,Parking Charges
2026-07-31,KA-01-MJ-1000,4 Seater,1,12,Ramesh Transport Solutions,PICKUP,ADHOC,110,50
2026-08-01,KA-02-MJ-1042,6 Seater,2,16.3,Sri Ganesh Fleet Services,DROP,REGULAR,0,0
2026-08-02,KA-03-MJ-1084,EV,3,20.6,Venkateshwara Cabs,PICKUP,REGULAR,0,0
2026-08-03,KA-04-MJ-1126,Sedan,4,24.9,Blue Sky Cabs,DROP,REGULAR,110,0
2026-08-04,KA-05-MJ-1168,SUV,1,29.2,Om Sai Logistics,PICKUP,ADHOC,0,0
2026-08-05,KA-01-MJ-1210,4 Seater,2,33.5,Ramesh Transport Solutions,DROP,REGULAR,0,50
2026-08-06,KA-02-MJ-1252,6 Seater,3,37.8,Sri Ganesh Fleet Services,PICKUP,REGULAR,110,0
2026-08-07,KA-03-MJ-1294,EV,4,42.1,Venkateshwara Cabs,DROP,REGULAR,0,0
2026-08-08,KA-04-MJ-1336,Sedan,1,46.4,Blue Sky Cabs,PICKUP,ADHOC,0,0
2026-08-09,KA-05-MJ-1378,SUV,2,50.7,Om Sai Logistics,DROP,REGULAR,110,0
2026-08-10,KA-01-MJ-1000,4 Seater,3,55,Ramesh Transport Solutions,PICKUP,REGULAR,0,50
2026-08-11,KA-02-MJ-1042,6 Seater,4,59.3,Sri Ganesh Fleet Services,DROP,REGULAR,0,0
2026-08-12,KA-03-MJ-1084,EV,1,13.6,Venkateshwara Cabs,PICKUP,ADHOC,110,0
2026-08-13,KA-04-MJ-1126,Sedan,2,17.9,Blue Sky Cabs,DROP,REGULAR,0,0
2026-08-14,KA-05-MJ-1168,SUV,3,22.2,Om Sai Logistics,PICKUP,REGULAR,0,0
